country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","20-07-2026 15:00:00",23.041137,72.456691,PM10,29,72,46
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","20-07-2026 15:00:00",23.041137,72.456691,NH3,2,3,2
India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM","20-07-2026 15:00:00",23.041137,72.456691,OZONE,1,18,10
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","20-07-2026 15:00:00",22.977134,72.553024,CO,2,49,12
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","20-07-2026 15:00:00",23.107969,72.574648,OZONE,3,9,5
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","20-07-2026 15:00:00",23.023389,72.515201,PM10,32,82,54
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","20-07-2026 15:00:00",23.023389,72.515201,SO2,1,6,3
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","20-07-2026 15:00:00",23.020509,72.579261,CO,27,48,38
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB","20-07-2026 15:00:00",30.379589,76.778328,PM10,40,120,75
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","20-07-2026 15:00:00",28.3419248,77.319699,PM2.5,38,347,116
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB","20-07-2026 15:00:00",28.3419248,77.319699,CO,30,75,52
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","20-07-2026 15:00:00",28.806223,76.141105,NO2,6,9,8
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","20-07-2026 15:00:00",28.806223,76.141105,SO2,12,13,13
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB","20-07-2026 15:00:00",28.806223,76.141105,OZONE,7,23,15
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","20-07-2026 15:00:00",28.2068,76.7997,PM2.5,76,125,90
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","20-07-2026 15:00:00",28.2068,76.7997,NO2,9,32,23
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","20-07-2026 15:00:00",28.2068,76.7997,NH3,5,10,7
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","20-07-2026 15:00:00",28.376058,77.315741,NH3,8,9,8
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","20-07-2026 15:00:00",28.376058,77.315741,SO2,4,11,7
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","20-07-2026 15:00:00",28.39072,77.30059,NO2,24,26,25
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","20-07-2026 15:00:00",28.39072,77.30059,NH3,10,12,11
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","20-07-2026 15:00:00",28.39072,77.30059,CO,22,30,25
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","20-07-2026 15:00:00",28.4417,77.3217,PM2.5,39,57,42
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","20-07-2026 15:00:00",28.4417,77.3217,NH3,1,4,2
